Zip Code,Population,Staff Needed,Senior Population (65+),,,,,,,
98953,6461,4,,,,,,,,
99001,7330,5,,,,,,,,
99003,4110,2,,,,,,,,
99004,21189,14,,,,,,,,
99005,9770,6,,,,,,,,
99006,13397,9,,,,,,,,
99008,470,1,,,,,,,,
99009,4423,3,,,,,,,,
99011,3464,2,,,,,,,,
99012,1006,1,,,,,,,,
99013,1856,1,,,,,,,,
99016,15437,10,,,,,,,,
99017,131,1,,,,,,,,
99018,279,1,,,,,,,,
99019,12244,8,,,,,,,,
99021,9441,6,,,,,,,,
99022,8718,6,,,,,,,,
99023,641,1,,,,,,,,
99025,5510,3,,,,,,,,
99026,8714,6,,,,,,,,
99027,5985,4,,,,,,,,
99029,1009,1,,,,,,,,
99030,905,1,,,,,,,,
99031,1270,1,,,,,,,,
99032,698,1,,,,,,,,
99033,927,1,,,,,,,,
99034,88,1,,,,,,,,
99036,1794,1,,,,,,,,
99037,14589,10,,,,,,,,
99039,135,1,,,,,,,,
99040,784,1,,,,,,,,
99101,1419,1,,,,,,,,
99102,473,1,,,,,,,,
99103,489,1,,,,,,,,
99105,37,1,,,,,,,,
99109,4948,3,,,,,,,,
99110,1724,1,,,,,,,,
99111,4202,2,,,,,,,,
99113,600,1,,,,,,,,
99114,12866,8,,,,,,,,
99115,1298,1,,,,,,,,
99116,1672,1,,,,,,,,
99117,530,1,,,,,,,,
99118,794,1,,,,,,,,
99119,1294,1,,,,,,,,
99121,327,1,,,,,,,,
99122,4338,3,,,,,,,,
99123,992,1,,,,,,,,
99124,277,1,,,,,,,,
99125,603,1,,,,,,,,
99126,1019,1,,,,,,,,
99128,371,1,,,,,,,,
99129,671,1,,,,,,,,
99130,855,1,,,,,,,,
99131,218,1,,,,,,,,
99133,1674,1,,,,,,,,
99134,531,1,,,,,,,,
99135,374,1,,,,,,,,
99136,20,1,,,,,,,,
99137,357,1,,,,,,,,
99138,1084,1,,,,,,,,
99139,1339,1,,,,,,,,
99140,489,1,,,,,,,,
99141,5898,4,,,,,,,,
99143,668,1,,,,,,,,
99144,16,1,,,,,,,,
99146,25,1,,,,,,,,
99147,159,1,,,,,,,,
99148,2057,1,,,,,,,,
99149,223,1,,,,,,,,
99150,310,1,,,,,,,,
99151,176,1,,,,,,,,
99152,122,1,,,,,,,,
99153,422,1,,,,,,,,
99154,37,1,,,,,,,,
99155,1231,1,,,,,,,,
99156,8755,6,,,,,,,,
99157,589,1,,,,,,,,
99158,585,1,,,,,,,,
99159,1403,1,,,,,,,,
99160,113,1,,,,,,,,
99161,1278,1,,,,,,,,
99163,36052,25,,,,,,,,
99166,3022,2,,,,,,,,
99167,710,1,,,,,,,,
99169,2663,1,,,,,,,,
99170,1022,1,,,,,,,,
99171,1018,1,,,,,,,,
99173,1577,1,,,,,,,,
99174,48,1,,,,,,,,
99176,150,1,,,,,,,,
99179,458,1,,,,,,,,
99180,1065,1,,,,,,,,
99181,1788,1,,,,,,,,
99185,1299,1,,,,,,,,
99201,13256,9,,,,,,,,
99202,21488,14,,,,,,,,
99203,21359,14,,,,,,,,
99204,7010,4,,,,,,,,
99205,43707,30,,,,,,,,
99206,40510,28,,,,,,,,
99207,31020,21,,,,,,,,
99208,55092,38,,,,,,,,
99212,21191,14,,,,,,,,
99216,26166,18,,,,,,,,
99217,18073,12,,,,,,,,
99218,17417,12,,,,,,,,
99223,32750,22,,,,,,,,
99224,22172,15,,,,,,,,
99301,81583,56,,,,,,,,
99320,9696,6,,,,,,,,
99321,488,1,,,,,,,,
99322,448,1,,,,,,,,
99323,4192,2,,,,,,,,
99324,9739,6,,,,,,,,
99326,6666,4,,,,,,,,
99328,3718,2,,,,,,,,
99329,95,1,,,,,,,,
99330,1157,1,,,,,,,,
99333,69,1,,,,,,,,
99335,205,1,,,,,,,,
99336,52259,36,,,,,,,,
99337,32080,22,,,,,,,,
99338,18473,12,,,,,,,,
99341,687,1,,,,,,,,
99343,3037,2,,,,,,,,
99344,18400,12,,,,,,,,
99345,180,1,,,,,,,,
99346,443,1,,,,,,,,
99347,2304,1,,,,,,,,
99348,1538,1,,,,,,,,
99349,9184,6,,,,,,,,
99350,14208,9,,,,,,,,
99352,32246,22,,,,,,,,
99353,16376,11,,,,,,,,
99354,23891,16,,,,,,,,
99356,165,1,,,,,,,,
99357,4438,3,,,,,,,,
99359,168,1,,,,,,,,
99360,1569,1,,,,,,,,
99361,1795,1,,,,,,,,
99362,41779,29,,,,,,,,
99363,157,1,,,,,,,,
99371,327,1,,,,,,,,
99401,376,1,,,,,,,,
99402,1597,1,,,,,,,,
99403,20707,14,,,,,,,,
